timestamp,face_id,emotion,confidence
2026-04-30T00:17:56.917,0,Neutral,0.9370
2026-04-30T00:17:57.246,0,Neutral,0.9560
2026-04-30T00:17:57.348,0,Neutral,0.9623
2026-04-30T00:17:57.455,0,Neutral,0.9660
2026-04-30T00:17:57.619,0,Neutral,0.9682
2026-04-30T00:17:57.720,0,Neutral,0.9696
2026-04-30T00:17:57.855,0,Neutral,0.9673
2026-04-30T00:17:57.955,0,Neutral,0.9657
2026-04-30T00:17:58.058,0,Neutral,0.9704
2026-04-30T00:17:59.331,0,Neutral,0.9680
2026-04-30T00:17:59.430,0,Neutral,0.9579
2026-04-30T00:17:59.559,0,Neutral,0.9135
2026-04-30T00:17:59.659,0,Neutral,0.8591
2026-04-30T00:17:59.758,0,Neutral,0.8536
2026-04-30T00:17:59.858,0,Neutral,0.8532
2026-04-30T00:17:59.957,0,Neutral,0.8507
2026-04-30T00:18:00.061,0,Neutral,0.8438
2026-04-30T00:18:00.157,0,Neutral,0.8394
2026-04-30T00:18:00.254,0,Neutral,0.8338
2026-04-30T00:18:00.350,0,Neutral,0.8622
2026-04-30T00:18:00.446,0,Neutral,0.9103
2026-04-30T00:18:00.544,0,Neutral,0.9141
2026-04-30T00:18:00.641,0,Neutral,0.9147
2026-04-30T00:18:00.741,0,Neutral,0.9147
2026-04-30T00:18:00.838,0,Neutral,0.9123
2026-04-30T00:18:00.936,0,Neutral,0.9153
2026-04-30T00:18:01.034,0,Neutral,0.9276
2026-04-30T00:18:01.136,0,Neutral,0.9347
2026-04-30T00:18:01.233,0,Neutral,0.9322
2026-04-30T00:18:01.332,0,Neutral,0.9327
2026-04-30T00:18:01.427,0,Neutral,0.9285
2026-04-30T00:18:01.526,0,Neutral,0.9324
2026-04-30T00:18:01.627,0,Neutral,0.9404
2026-04-30T00:18:01.726,0,Neutral,0.9402
2026-04-30T00:18:01.830,0,Neutral,0.9395
2026-04-30T00:18:01.931,0,Neutral,0.9453
2026-04-30T00:18:02.034,0,Neutral,0.9499
2026-04-30T00:18:02.134,0,Neutral,0.9464
2026-04-30T00:18:02.232,0,Neutral,0.9515
2026-04-30T00:18:02.330,0,Neutral,0.9513
2026-04-30T00:18:02.428,0,Neutral,0.9512
2026-04-30T00:18:02.528,0,Neutral,0.9481
2026-04-30T00:18:02.678,0,Neutral,0.9503
